,data_id,dataname,tasktype,trial,modelname,perf
105,46,SP,multiclass,0,xgb,0.9498432601880876
106,3,KK,binclass,0,xgb,0.984375
107,44055,AS,regression,0,xgb,0.095780433842665
108,44061,BZ,regression,0,xgb,9.27389409548847
109,1043,AA,binclass,0,xgb,0.8555798687089715
110,44160,RL,binclass,0,xgb,0.7686116700201208
111,44158,KU,binclass,0,xgb,0.8214285714285714
112,40900,SAT,binclass,0,xgb,0.9941176470588236
113,44124,KL,binclass,0,xgb,0.8921001926782274
114,1489,PO,binclass,0,xgb,0.8872458410351202
115,1497,WN,multiclass,0,xgb,0.9981684981684982
116,40499,TX,multiclass,0,xgb,0.9763636363636364
117,24,MS,binclass,0,xgb,1.0
118,41145,PH,binclass,0,xgb,0.7876712328767124
119,1475,FT,multiclass,0,xgb,0.5898692810457516
120,182,SI,multiclass,0,xgb,0.9144634525660964
121,44136,WR,regression,0,xgb,0.6870104607392311
122,43986,WQ,multiclass,0,xgb,0.6415384615384615
123,503,WD,regression,0,xgb,3.025690545323829
124,372,IU,multiclass,0,xgb,
125,44157,EM,binclass,0,xgb,0.6767411300919842
126,562,CPU,regression,0,xgb,3.1304397539776563
127,189,KI,regression,0,xgb,0.1444461675178426
128,558,BR,regression,0,xgb,0.0813377104102391
129,44132,CT,regression,0,xgb,2.770837214952393
130,40536,SD,binclass,0,xgb,0.845679012345679
131,44056,SO,regression,0,xgb,1.828179643906552
132,422,TO,regression,0,xgb,0.0266433826802833
133,44054,YP,regression,0,xgb,0.0261602871599491
134,4538,GE,multiclass,0,xgb,0.6700404858299596
135,45062,CH,binclass,0,xgb,0.852
136,44145,SF,regression,0,xgb,0.03006280216144
137,44122,POB,binclass,0,xgb,0.9722497522299306
138,1531,VV,multiclass,0,xgb,0.9646365422396856
139,1459,AC,multiclass,0,xgb,0.8160469667318982
140,44126,BM,binclass,0,xgb,0.8166351606805293
141,44062,BH,regression,0,xgb,0.0954064812630862
142,42183,SA,regression,0,xgb,2.689256759267669
143,32,PE,multiclass,0,xgb,0.9881818181818182
144,4534,PW,binclass,0,xgb,0.9656419529837252
145,42734,OC,multiclass,0,xgb,0.7378309137489325
146,45060,OS,binclass,0,xgb,0.913219789132198
147,26,NS,multiclass,0,xgb,0.9930555555555556
148,44125,MT,binclass,0,xgb,0.8318385650224215
149,44123,HOB,binclass,0,xgb,0.8346923647146034
150,44137,AR,regression,0,xgb,0.000158896536718
151,1476,GD,multiclass,0,xgb,0.9906542056074766
152,44005,MH,regression,0,xgb,0.1704958670103337
153,1471,EEG,binclass,0,xgb,0.9305740987983978
154,44133,POR,regression,0,xgb,7.3201053553436015
155,846,EV,binclass,0,xgb,0.9018072289156628
156,44134,EVR,regression,0,xgb,0.0023015933354076
157,44162,CPS,binclass,0,xgb,0.7249249249249249
158,44089,CR,binclass,0,xgb,0.7840909090909091
159,44063,BD,regression,0,xgb,48.58938887182571
