,data_id,dataname,tasktype,trial,modelname,perf,datasize,num_prep_features,feature_sample_ratio,cat_ratio,y_imbalance_full,num_classes,highfreq_ratio_quan,cor_full,avg_cardinality,FLAG_datasize,FLAG_tasktype,FLAG_featuredim,FLAG_featurecomp_1,FLAG_featurecomp_2,FLAG_imbalance,FLAG_irregularity,FLAG_corr,FLAG_card,FLAG_fsratio,FLAG_numclass,FLAG_overall,flag,max,min,norm_perf
4811,45714,PC,multiclass,3,t2g,1.0,Large,5,0.000141643,0.2,0.985,10.0,0.695088035,0.118137826,10.0,2,1,0,,,0.0,,0.0,1.0,0.0,1.0,0,1,1.0,0.1643059490084986,1.0
4812,45714,PC,multiclass,99,mlp,1.0,Large,5,0.000141643,0.2,0.985,10.0,0.695088035,0.118137826,10.0,2,1,0,,,0.0,,0.0,1.0,0.0,1.0,0,1,1.0,0.1643059490084986,1.0
4813,45714,PC,multiclass,99,resnet,1.0,Large,5,0.000141643,0.2,0.985,10.0,0.695088035,0.118137826,10.0,2,1,0,,,0.0,,0.0,1.0,0.0,1.0,0,1,1.0,0.1643059490084986,1.0
4814,45714,PC,multiclass,99,ftt,1.0,Large,5,0.000141643,0.2,0.985,10.0,0.695088035,0.118137826,10.0,2,1,0,,,0.0,,0.0,1.0,0.0,1.0,0,1,1.0,0.1643059490084986,1.0
4815,45714,PC,multiclass,99,t2g,1.0,Large,5,0.000141643,0.2,0.985,10.0,0.695088035,0.118137826,10.0,2,1,0,,,0.0,,0.0,1.0,0.0,1.0,0,1,1.0,0.1643059490084986,1.0
4816,44064,NP,regression,0,xgb,-0.8596668788110422,Large,59,0.001488245,0.271186441,0.730777873,,0.50194079,0.004154389,3.625,2,2,2,,,,,1.0,,,,0,-1,-0.8569609517601035,-1.0411550918683952,0.9853093749380525
4817,44064,NP,regression,0,catb,-0.8569609517601035,Large,59,0.001488245,0.271186441,0.730777873,,0.50194079,0.004154389,3.625,2,2,2,,,,,1.0,,,,0,-1,-0.8569609517601035,-1.0411550918683952,1.0
4818,44064,NP,regression,0,lgbm,-0.8699383644221257,Large,59,0.001488245,0.271186441,0.730777873,,0.50194079,0.004154389,3.625,2,2,2,,,,,1.0,,,,0,-1,-0.8569609517601035,-1.0411550918683952,0.9295449211663708
4819,44064,NP,regression,0,mlp,-1.0411550918683952,Large,59,0.001488245,0.271186441,0.730777873,,0.50194079,0.004154389,3.625,2,2,2,,,,,1.0,,,,0,-1,-0.8569609517601035,-1.0411550918683952,0.0
4820,44064,NP,regression,0,ftt,-0.8715831254369882,Large,59,0.001488245,0.271186441,0.730777873,,0.50194079,0.004154389,3.625,2,2,2,,,,,1.0,,,,0,-1,-0.8569609517601035,-1.0411550918683952,0.920615424202485
4821,44064,NP,regression,0,resnet,-0.9820552619662982,Large,59,0.001488245,0.271186441,0.730777873,,0.50194079,0.004154389,3.625,2,2,2,,,,,1.0,,,,0,-1,-0.8569609517601035,-1.0411550918683952,0.320856189384477
