,data_id,modelname,perf,ensemble,min,max,flag,norm_perf
21,560,resnet,-1.2243847313923075,1,-2.524466762324676,-0.579667328248821,-1,0.6684915720114613
22,560,ftt,-0.9398316316782572,1,-2.524466762324676,-0.579667328248821,-1,0.8148064540132994
23,560,t2g,-1.0793681510173454,1,-2.524466762324676,-0.579667328248821,-1,0.7430579143468456
24,566,mlp,-230.33910972466225,1,-328085.24409567605,-144.65869841212935,-1,0.999738731907157
25,566,resnet,-325.99218740638554,1,-328085.24409567605,-144.65869841212935,-1,0.9994470538351494
26,566,ftt,-211.8270594730522,1,-328085.24409567605,-144.65869841212935,-1,0.9997951813101159
27,566,t2g,-208.7918464793345,1,-328085.24409567605,-144.65869841212935,-1,0.9998044366848051
28,524,mlp,-0.6366001088826323,1,-1.032612565118449,-0.5137163730392077,-1,0.7631824289343428
29,524,resnet,-0.7065444239751016,1,-1.032612565118449,-0.5137163730392077,-1,0.6283880015322083
30,524,ftt,-0.6015054254580492,1,-1.032612565118449,-0.5137163730392077,-1,0.8308157705550572
31,524,t2g,-0.5696518350424148,1,-1.032612565118449,-0.5137163730392077,-1,0.8922029822977288
32,194,mlp,-0.8968515412987672,1,-1.1559478261815896,-0.8085341300317654,-1,0.7457860405454069
33,194,resnet,-0.932895479073837,1,-1.1559478261815896,-0.8085341300317654,-1,0.6420367117926176
34,194,ftt,-0.8440664192569134,1,-1.1559478261815896,-0.8085341300317654,-1,0.8977234069383826
35,194,t2g,-0.9562865181725412,1,-1.1559478261815896,-0.8085341300317654,-1,0.5747076474582722
36,511,mlp,-191.18699942726232,1,-408.41140410130566,-168.6321984656993,-1,0.905935125184126
37,511,resnet,-254.4926018079897,1,-408.41140410130566,-168.6321984656993,-1,0.6419188931972155
38,511,ftt,-248.99097937977592,1,-408.41140410130566,-168.6321984656993,-1,0.6648634284150634
39,511,t2g,-210.7171070861357,1,-408.41140410130566,-168.6321984656993,-1,0.8244847441675445
40,509,mlp,-1035.4358381860268,1,-1879.5200185153656,-945.8689457319128,-1,0.9040681309484365
41,509,resnet,-1024.1463518462583,1,-1879.5200185153656,-945.8689457319128,-1,0.916159892709189
42,509,ftt,-1094.4471206961073,1,-1879.5200185153656,-945.8689457319128,-1,0.8408632739838826
43,509,t2g,-1063.4951809951938,1,-1879.5200185153656,-945.8689457319128,-1,0.8740147805832783
44,456,mlp,-211.33985699874503,1,-628832.6440381415,-167.81645130357452,-1,0.9999307685052744
